日本語,英語,例文,,
設立する,"Establishment, to establish",一般的な言い方で建物にも、組織などにも使える汎用的な言葉、創設は施設・組織などで創立は建物に当たる」彼らはロンドンで新会社を設立した。彼らは被害者を支えるための募金を設立した。,,
設立者,A founder,,,
機構,An organization,WHOとは世界保健機構を表す。,,
勇敢な・勇気な・勇ましい,To be brave/courageous,,,
勇者,A hero,,,
轟く,To roar,,,
当事者、関係者,An affiliated party,,,
定規（じょうぎ）,A ruler (tool),,,
目盛り,Increments/gradiations,日本の体温計は摂氏の目盛りを使用してる。この定規はセンチの目盛りがついてる。,,
大負けする,"A crushing defeat,　to have a crushing defeat",,,
解釈する,"Interpretation, to interpret",その言葉は数どおりに解釈できる。規則の厳密な解釈。命令を文字通りに解釈する。,,
もうすっかり,Already completely,秘密はもうすっかり知れ渡ってるよ。私はもうすっかり病気が治った。私達に仕事はもうすっかり終わった。体はもうすっかり弱っていたが、この鶴のおかげで貞子は心の中で強い気持ちになることができた。彼はもうすっかり良くなった。箸の使い方にはもうすっかりお慣れになったでしょう。,,
やらかす,To do (slang),する・やるを俗にいう」あいつは会社の飲み会で酔っ払いすぎて、社長にどえらいことをやらかした。どえらいことをやらかす。へまをやらかす。,,
維持する,"Maintenance, to maintain",,,
人並み「の」,"Ordinary, ordinarily",人並みに暮らす。人並みの収入。人並みの家に住む。人並みの教育。人並みな生活を追求する。,,
驚異、驚異的な,"A marvel, ro be marvelous",その光景を見て私は驚異の念に打たれた。自然の虚位を記述した本。彼は驚異の念でいっぱいだった。読書は驚異に満ちた豊かな世界へ導いてくれる。彼は驚異的な力で自転車を持ち上げた。真に驚異的な点。,,
余波「で」,After effect/aftermath,台風の余波で被害は多かった。,,
生み出す,To bring forth/to produce,努力は良い結果を生み出す。,,
厳しい,To be strict,,,
役回り「を務める・を負う」,A thankless task,あんな役回りを引き受けちゃって。。。,,
引く受ける,To take on,彼は難しい仕事を引き受けた。,,
有効性，無効性,"Effectiveness, ineffectiveness",,,
香辛料,Spices,,,
ひりひりする,To sting、To be sore,ディップは辛くて、舌がひりひりした。日焼けは肌をひりひりさせる。喉がひりひりする。,,
くらくらする,To be dizzy,目まいがする」立ち上がったら頭がくらくらした。,,
洗練する,"Refinement, to refine",。,,
車線,Traffic lane,追い越し車線（Passing lane)　追い越し禁止（No passing lane),,
追い越す・追い抜く,"To pass, To overtake",あの会社はコンピュータの販売台数でわが社を追い越した。車を追い越す。,,
台数,Number of cars/computers etc.,,,
吹き荒れる,To blow violently,外では冷たい北風が轟々と吹き荒れていた。吹き荒れる嵐の予感に、僕らはこぞって震え上がった。,,
挙って・一斉に・皆一緒に,"All at once, simaltaneously, all together",,,
投票する,Voting (to vote),私はその候補者に投票した。反対投票Negative vote.,,
代数,Algebra,代数の苦手にしてる生徒は多い。,,
学科、科目,"School department, school subject",代数は私の得意な科目。彼は理科を2科目取らなければならない。彼は全科目優等で賞を得た。,,
募金する,"Fund raising, to fund raise",絶滅の危機に瀕した海洋生物を保護するために募金が設立された。,,
請求書,A bill,私は彼がその請求書を払うことに反対した。小包と一緒に請求書が送られてきた。侵犯会社は毎月顧客に請求書を送ります。我々の記録によれば、請求書１１１１は未払いになっております。長距離電話の請求書を見て彼は驚いた。請求書は合計２５ドル以上になった。彼女は電気料金の請求書を強雨受け取った。,,
明細書,A detailed account of~,全支出金の明細を説明する。,,
田園、田舎,Countryside,小山の頂上から田園がはっきり見える。,,
弾ける,"To pop, burst",弾けるように笑うTo burst into laughterたまには酒にでも酔って弾けて日ごろの鬱憤を晴らしたほうがいいんじゃないか。花火の弾ける音がやんだ。,,
勢い（いきおい）,"Force, momentum",,,
感傷、感傷的な,"Sentiment, sentimental",討論には感傷の入る余地はない。感傷的な映画。感傷的な話。,,
境・境界,"Boundary, border",国の境(国境という場合が、99．9％。国の境とはあまり言わない。）を超える。To cross the border.　その川が二つの農場の境を成してる。,,
成す,"To build up, to establish, to form",,,
斜線,Diagonal line,斜線を引く,,
力量,Ability,彼の力量でこの仕事は無理だ。指導者としての力量が問われる。彼には社長になれるような力量はない。彼にはその仕事をする力量がある。僕は君の力量を信じてる。彼は私の知ってる人でその仕事をやり遂げる力量のあるただ一人の人です。,,
発揮する,"Display, demonstrate",弁護士として優れた力量を発揮する。想像力の発揮。,,
回線,Circuit(connection),テレビ回線、電話回線　電話線（回線）の状態が良くないようです。It look's like we have a bad connection.,,
演奏する,"A musical performance, to musically perform",彼は父のいる前でギターを上手に演奏した。,,
音楽劇,A musical,,,
卓越さ、卓越した,"Excellence, to be excellent",ピカソは卓越した画家だ。,,
楽曲（がっきょく）,A musical compsition,,,
早急な、即刻、直ちに，今直ぐに、,Immediately,,,
軟弱な,Soft and weak,軟弱地盤。軟弱外交。軟弱路線。軟弱な意見。軟弱な選択。,,
むしる,"To pick, pluck",ぐはっ！？俺の貴重な頭髪をむしるな！,,
頭髪（とうはつ）,Hair on head,,,
水位,Water level,大台風の後、ニューヨーク市の水位は高くて、町中は完全に止まった。,,
妨げる、妨害する,"To hinder, interfere",,,
低下する≪自≫,"Declination, to decline",最近の調査が大都市の人口密度の低下を示してる。最近、出生率は低下し続けてる。不況とは経済活動の低下、失業の広がり、物価や賃金などの下落が目立つ時期のことである。このままでは我が国の国際競争力はさらに低下する恐れが大きい。彼は教育の水準の低下についてくどくどしゃべり続ける。,,
沸かす,To boil (to get someone excited),人を沸かす。中田さんの巧みなスルーパスはいつも観客を沸かす。,,
隔離する,"Isolation, to isolate",,,
分離、引き離す,"Seperation, to separate",政教の分離The separation fo church and state宗教と化学との完全な分離。牛乳からクリームを分離させる。2国を分離してる川。,,
弁えた、分別のある,To be reasonable,,,
現行（の）,Present/current,,,
精密な,"Precision, to be precise",精密工学Precision engineering精密機械Precision machinery精密化学Precision science,,
根本的な、基本的な、根源的な,To be fundamental,,,
織物,Fabric/textile,,,
計量する,Measurement (to measure),計量カップA measuring cup,,
反撃する、逆襲する（ぎゃくしゅう）,Counter attack (to counter attack),,,
清純な・清い,Pure,,,
清浄な、清潔な,Clean,清浄燃料Clean fuel清浄潔白Pure hearted山中では空気はとても清浄だ。,,
上に,On top of~,,,
この上ない、この上なく,"Complete(100%),　Unexceedable",彼女の顔にはこの上ない満足感が表れていた。この上もなく良いもの。Best thing imaginable/ever。彼はこの上なく落ち込んでいる。He is as depressed as can be.これは彼がこの上なく大切にしてる壺だ。,,
置き換える,To replace,「ものをどかしてほかのものをそのあとに置く」居間の置物を花瓶に置き換える。現在のバージョンはアップデート版で置き換える。ここはもう少し的確な表現に置き換えたい。戦争は私たちの幸せを奪い取って、代わりに恐怖で置き換えられた。波乱万丈の人生か、テレビで見るのはいいけど、我が身に置き換えれば結構きついよね。,,
昇進する,Promotion (to promote),,,
降格する,Demotion (to demote),彼は降格されたことを達観してる。(To take a philosophical view on),,
大破した（たいは）,"Serious damage, to be seriously damaged",爆撃で大破した建物。大破したトラック。通勤電車を大破させた爆弾。大破した車,,
捉える,"To percieve as, to treat as",,,
北上する,To head North,,,
復旧する≪自≫,"Restoration, to be restored",現在、通常のサービスの早急な復旧に努めています。道路が復旧した。山手線は10時までに復旧するでしょう。,,
賃貸する、賃貸～,"To rent out, rental~",賃貸物件。賃貸マンション。賃貸住宅。賃貸アパート。,,
殴り合い、殴り合う,"Fist fight, to exchange blows",,,
ぞんざいな,To be abrupt/half-assed,いい加減に物事をするさま、言動が乱暴で失礼」ぞんざいに書いた文字。ぞんざいな作品。ぞんざいな話し方。彼女のざんざいな仕事に立腹する。其の警官は私に対してかなりぞんざいだった。ぞんぁいに扱われてる。彼は引き出しに物をざんざいに押し込んだ。,,
躊躇する・躊躇う,"Hesitation, to hesitate",,,
乱入する,"Bursting in, to burst in",強盗が彼の家に乱入した。,,
折り畳む,To fold up/to collapse,エミーはナプキンを半分に折り畳んだ。,,
結合する,"Union, to unite/to combine",水素と酸素が結合して水になる。橋で二つの島を結合する。二つの国家は友情の絆で結合してる。この州は結合して一つの国になった。,,
最大化（する）、最小化（する）,"To maximize, to minimize",,,
引き寄せる,To pull towards oneself,彼女は自分のほうに椅子を引き寄せた。,,
色付く,To change color,葉が色付き始めた。つぼみがだんだん色付いてきた。,,
通り過ぎる,To pass,彼女は気づかずに私の前を通り過ぎた。彼女は通り過ぎる時は必ず声をかけた。列車が私たちの側を通り過ぎた。彼女は非常に美人なので、通り過ぎると誰でも振り向く。,,
概要（する）要約（する）概略（する）大要（する）,Outline (to outline),彼は私事件の概要を説明した。,,
精度,Accuracy,今日では私たちは天気がどうなるかを高い精度で当てることができる。,,
痕跡、形跡,Trace,痕跡のほうが歴史・大きい出来事・事件に使われ、形跡は一般的なものに対しても使える」家には誰もいないが息子が返ってきた形跡がある。２９００年前の住居の痕跡が発見された。古代文明の痕跡。誰かがその家に入った形跡がある。,,
